# ELENCOS REAIS — fonte enviada pelo dono do jogo em 23/09/2026.
#
# Formato de cada linha:  Nome | Posição | dd/mm/aaaa (idade) | Nacionalidades | Valor
# Linha que começa com "# CLUBE:" abre o elenco de um clube.
#
# O clube entre parênteses no nome do jogador é o clube DE ORIGEM de quem está
# emprestado — o jogador conta pro elenco do bloco, não pro clube do parêntese.
#
# Este arquivo é a fonte; games/core/fut_importar.php vira elenco do jogo.

# CLUBE: Flamengo
Brenner | Centroavante | 16/01/2000 (26) | Brasil | € 4.00 mi.
Claudio Spinelli | Centroavante | 21/01/1997 (29) | Argentina | € 3.00 mi.

# CLUBE: Botafogo
Gabriel Batista | Goleiro | 03/06/1998 (28) | Brasil | € 4.00 mi.
Warleson | Goleiro | 31/08/1996 (30) | Brasil | € 2.00 mi.
Cristhian Loor | Goleiro | 09/03/2006 (20) | Equador | € 350 mil
Arthur Chaves | Zagueiro | 29/01/2001 (25) | Brasil | € 5.00 mi.
Nahuel Ferraresi | Zagueiro | 19/11/1998 (27) | Venezuela | € 4.50 mi.
Kaio | Zagueiro | 18/09/1995 (31) | Brasil | € 1.80 mi.
Lucas Monzón | Zagueiro | 29/09/2001 (24) | Uruguai | € 550 mil
Gabriel Justino | Zagueiro | 16/04/2006 (20) | Brasil | € 500 mil
Anthony | Zagueiro | 12/07/2005 (21) | Brasil | € 300 mil
Kawan | Zagueiro | 10/04/2003 (23) | Brasil | -
Alex Telles | Lateral Esq. | 15/12/1992 (33) | Brasil | € 2.80 mi.
Paulinho | Lateral Esq. | 03/01/1995 (31) | Brasil | € 400 mil
Marçal | Lateral Esq. | 19/02/1989 (37) | Brasil | € 200 mil
Jhoan Hernández | Lateral Esq. | 20/02/2006 (20) | Colômbia | € 150 mil
Vitinho | Lateral Dir. | 23/07/1999 (27) | Brasil | € 9.00 mi.
Mateo Ponte | Lateral Dir. | 24/05/2003 (23) | Uruguai | € 2.00 mi.
Domingos Andrade | Volante | 07/05/2003 (23) | Moçambique | € 1.50 mi.
Allan | Volante | 08/01/1991 (35) | Brasil | € 1.00 mi.
Wallace Davi | Volante | 10/05/2007 (19) | Brasil | € 1.00 mi.
Huguinho | Volante | 04/06/2007 (19) | Brasil | € 300 mil
Danilo | Meia Central | 29/04/2001 (25) | Brasil | € 32.00 mi.
Cristian Medina | Meia Central | 01/06/2002 (24) | Argentina | € 9.00 mi.
Edenilson | Meia Central | 18/12/1989 (36) | Brasil | € 250 mil
Jordan Barrera | Meia Ofensivo | 11/04/2006 (20) | Colômbia | € 2.50 mi.
Álvaro Montoro | Ponta Esquerda | 17/04/2007 (19) | Argentina | € 10.00 mi.
Matheus Martins | Ponta Esquerda | 16/07/2003 (23) | Brasil | € 6.00 mi.
Júnior Santos | Ponta Direita | 11/10/1994 (31) | Brasil | € 3.00 mi.
Hakim Ziyech | Ponta Direita | 19/03/1993 (33) | Marrocos | € 2.20 mi.
Lucas Villalba | Ponta Direita | 11/05/2001 (25) | Argentina | € 1.50 mi.
Arthur Cabral | Centroavante | 25/04/1998 (28) | Brasil | € 9.00 mi.
Kadir Barría | Centroavante | 18/07/2007 (19) | Panamá | € 2.00 mi.
Danilo Silva | Centroavante | 07/04/1999 (27) | Brasil | € 1.50 mi.
Tiquinho Soares | Centroavante | 17/01/1991 (35) | Brasil | € 800 mil

# CLUBE: Fluminense
Vitor Eudes | Goleiro | 21/10/1998 (27) | Brasil | € 400 mil
Marcelo Pitaluga | Goleiro | 20/12/2002 (23) | Brasil | € 200 mil
Fábio | Goleiro | 30/09/1980 (45) | Brasil | € 75 mil
Juan Pablo Freytes | Zagueiro | 11/01/2000 (26) | Argentina | € 5.00 mi.
Julián Millán | Zagueiro | 27/03/1998 (28) | Colômbia | € 3.50 mi.
Jemmes | Zagueiro | 09/04/2000 (26) | Brasil | € 3.00 mi.
Ignácio | Zagueiro | 01/12/1996 (29) | Brasil | € 2.00 mi.
Igor Rabello | Zagueiro | 28/04/1995 (31) | Brasil | € 1.40 mi.
Thiago Silva | Zagueiro | 22/09/1984 (42) | Brasil | € 500 mil
Guilherme Arana | Lateral Esq. | 14/04/1997 (29) | Brasil | € 6.00 mi.
Renê | Lateral Esq. | 14/09/1992 (34) | Brasil | € 400 mil
Léo Jance | Lateral Esq. | 23/03/2005 (21) | Brasil | -
Guga | Lateral Dir. | 29/08/1998 (28) | Brasil | € 2.00 mi.
Jhonny | Lateral Dir. | 16/04/2002 (24) | Brasil | € 350 mil
Julio Fidelis | Lateral Dir. | 06/11/2006 (19) | Brasil | € 300 mil
Samuel Xavier | Lateral Dir. | 06/06/1990 (36) | Brasil | € 200 mil
Martinelli | Volante | 05/10/2001 (24) | Brasil | € 16.00 mi.
Otávio | Volante | 04/05/1994 (32) | Brasil | € 1.20 mi.
Luis Fernando | Volante | 18/02/2005 (21) | Brasil | -
Hércules | Meia Central | 20/10/2000 (25) | Brasil | € 15.00 mi.
Nonato | Meia Central | 03/03/1998 (28) | Brasil | € 2.00 mi.
Alisson | Meia Central | 25/06/1993 (33) | Brasil | € 800 mil
Jefferson Savarino | Meia Ofensivo | 11/11/1996 (29) | Venezuela | € 8.00 mi.
Luciano Acosta | Meia Ofensivo | 31/05/1994 (32) | Argentina | € 5.00 mi.
Ganso | Meia Ofensivo | 12/10/1989 (36) | Brasil | € 300 mil
Yago Ferreira | Meia Ofensivo | 02/08/2001 (25) | Brasil | -
Yeferson Soteldo | Ponta Esquerda | 30/06/1997 (29) | Venezuela | € 3.50 mi.
Matheus Reis | Ponta Esquerda | 02/04/2007 (19) | Brasil | -
Agustín Canobbio | Ponta Direita | 01/10/1998 (27) | Uruguai | € 8.00 mi.
Riquelme | Ponta Direita | 13/03/2007 (19) | Brasil | € 6.00 mi.
Kevin Serna | Ponta Direita | 17/12/1997 (28) | Colômbia | € 5.00 mi.
John Kennedy | Centroavante | 18/05/2002 (24) | Brasil | € 9.00 mi.
Rodrigo Castillo | Centroavante | 26/02/1999 (27) | Argentina | € 6.00 mi.
Hulk | Centroavante | 25/07/1986 (40) | Brasil | € 1.00 mi.
Germán Cano | Centroavante | 02/01/1988 (38) | Argentina | € 500 mil

# CLUBE: Bahia
Ronaldo | Goleiro | 22/08/1996 (30) | Brasil | € 2.00 mi.
Guido Herrera | Goleiro | 29/02/1992 (34) | Argentina | € 1.50 mi.
Léo Vieira | Goleiro | 22/09/1990 (36) | Brasil | € 200 mil
Victor | Goleiro | 03/05/2006 (20) | Brasil | -
Kanu | Zagueiro | 07/03/1997 (29) | Brasil | € 3.00 mi.
David Duarte | Zagueiro | 24/01/1995 (31) | Brasil | € 1.50 mi.
Marco Moreno | Zagueiro | 20/02/2001 (25) | Chile | € 900 mil
Luiz Gustavo | Zagueiro | 12/04/2006 (20) | Brasil | € 600 mil
Marcos Victor | Zagueiro | 26/12/2001 (24) | Brasil | € 450 mil
Fredi Gomes | Zagueiro | 23/05/2006 (20) | Brasil | -
Luciano Juba | Lateral Esq. | 29/08/1999 (27) | Brasil | € 14.00 mi.
Zé Guilherme | Lateral Esq. | 16/03/2005 (21) | Brasil | € 400 mil
Román Gómez | Lateral Dir. | 14/07/2004 (22) | Argentina | € 1.50 mi.
Caio Alexandre | Volante | 24/02/1999 (27) | Brasil | € 7.00 mi.
Nicolás Acevedo | Volante | 14/04/1999 (27) | Uruguai | € 6.00 mi.
Erick | Volante | 14/11/1997 (28) | Brasil | € 4.00 mi.
Lautaro López | Volante | 30/03/2005 (21) | Argentina | € 400 mil
